"Azure Monitor では、複数の方法を使用してメトリックを操作できます。たとえば、ポータルでメトリックをグラフ化したり、REST API でアクセスしたり、PowerShell や CLI を使ってクエリを実行したりできます。Azure Monitor provides several ways to interact with metrics, including charting them in the portal, accessing them through the REST API, or querying them using PowerShell or CLI. ここで示しているのは、Azure Monitor のメトリック パイプラインで現在利用できるメトリックの一覧です。Below is a complete list of all metrics currently available with Azure Monitor's metric pipeline. 他のメトリックについては、ポータルや従来の API で使用できる場合があります。Other metrics may be available in the portal or using legacy APIs. 以下の一覧には、統合された Azure Monitor メトリック パイプラインで使うことができるメトリックのみが含まれます。This list below only includes metrics available using the consolidated Azure Monitor metric pipeline. これらのメトリックを照会してアクセスするには、2018-01-01 バージョンの API を使ってください。To query for and access these metrics please use the 2018-01-01 api-version",,,,,,,,,,,,
,,,,,,,,,,,,
注意,,,,,,,,,,,,
,,,,,,,,,,,,
"診断設定を使用した多ディメンション メトリックの送信は現在サポートされていません。Sending multi-dimensional metrics via diagnostic settings is not currently supported. ディメンションを含むメトリックは、ディメンション値間で集計され、フラット化された単一ディメンションのメトリックとしてエクスポートされます。Metrics with dimensions are exported as flattened single dimensional metrics, aggregated across dimension values.",,,,,,,,,,,,
,,,,,,,,,,,,
"例: イベント ハブの ""受信メッセージ"" メトリックは、キュー単位のレベルで調査およびグラフ化できます。For example: The 'Incoming Messages' metric on an Event Hub can be explored and charted on a per queue level. ただし、診断設定を使用してエクスポートすると、メトリックは、イベント ハブ内のすべてのキューのすべての受信メッセージとして表されます。However, when exported via diagnostic settings the metric will be represented as all incoming messages across all queues in the Event Hub.",,,,,,,,,,,,
,,,,,,,,,,,,
Microsoft.AnalysisServices/serversMicrosoft.AnalysisServices/servers,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
qpu_metricqpu_metric,QPUQPU,CountCount,平均Average,"QPU。QPU. 範囲は S1 で 0 ～ 100、S2 で 0 ～ 200、S4 で 0 ～ 400Range 0-100 for S1, 0-200 for S2 and 0-400 for S4",ServerResourceTypeServerResourceType,,,,,,,
memory_metricmemory_metric,メモリMemory,バイトBytes,平均Average,"メモリ。Memory. 範囲は S1 で 0 ～ 25 GB、S2 で 0 ～ 50 GB、S4 で 0 ～ 100 GBRange 0-25 GB for S1, 0-50 GB for S2 and 0-100 GB for S4",ServerResourceTypeServerResourceType,,,,,,,
TotalConnectionRequestsTotalConnectionRequests,合計接続要求数Total Connection Requests,CountCount,平均Average,合計接続要求数。Total connection requests. これらは到着した接続要求です。These are arrivals.,ServerResourceTypeServerResourceType,,,,,,,
SuccessfullConnectionsPerSecSuccessfullConnectionsPerSec,成功した接続数 (秒単位)Successful Connections Per Sec,CountPerSecondCountPerSecond,平均Average,接続が正常に完了した割合。Rate of successful connection completions.,ServerResourceTypeServerResourceType,,,,,,,
TotalConnectionFailuresTotalConnectionFailures,合計接続失敗数Total Connection Failures,CountCount,平均Average,失敗した接続試行数の合計。Total failed connection attempts.,ServerResourceTypeServerResourceType,,,,,,,
CurrentUserSessionsCurrentUserSessions,現在のユーザー セッションCurrent User Sessions,CountCount,平均Average,確立された現在のユーザー セッションの数。Current number of user sessions established.,ServerResourceTypeServerResourceType,,,,,,,
QueryPoolBusyThreadsQueryPoolBusyThreads,クエリ プール ビジー スレッドQuery Pool Busy Threads,CountCount,平均Average,クエリ スレッド プールのビジー スレッドの数。Number of busy threads in the query thread pool.,ServerResourceTypeServerResourceType,,,,,,,
CommandPoolJobQueueLengthCommandPoolJobQueueLength,コマンド プールのジョブ キューの長さCommand Pool Job Queue Length,CountCount,平均Average,コマンド スレッド プールのキュー内のジョブの数。Number of jobs in the queue of the command thread pool.,ServerResourceTypeServerResourceType,,,,,,,
ProcessingPoolJobQueueLengthProcessingPoolJobQueueLength,処理プール ジョブ キューの長さProcessing Pool Job Queue Length,CountCount,平均Average,処理スレッド プールのキュー内の非 I/O ジョブの数。Number of non-I/O jobs in the queue of the processing thread pool.,ServerResourceTypeServerResourceType,,,,,,,
